"cnes","codmunocor","ano","qtd_leitos","tipo","municipio","uf","regiao","cod_r_saude","r_saude","cod_macro_r_saude","macro_r_saude","total_internacoes","internacoes_motivo_aborto","internacoes_motivo_parto","internacoes_motivo_intercorrencia_puerperio","internacoes_motivo_intercorrencia_gravidez","internacoes_tipo_de_alta_alta","internacoes_tipo_de_alta_permanencia","internacoes_tipo_de_alta_transferencia","internacoes_tipo_de_alta_morte","internacoes_tipo_de_alta_administrativa","internacoes_amiu","internacoes_curetagem","internacoes_aborto_legal","internacoes_parto_acompanhante"
3859,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",2997,272,2378,27,320,2962,19,7,9,0,41,192,3,0
3859,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",2744,218,2132,36,358,2706,31,5,2,0,71,111,4,7
3972,292740,2018,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",263,43,200,3,17,258,0,5,0,0,0,43,0,122
3972,292740,2019,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1398,232,1086,11,69,1368,0,30,0,0,0,227,0,748
3972,292740,2020,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1329,250,987,10,82,1289,0,40,0,0,0,244,0,418
3972,292740,2021,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",638,129,469,7,33,617,0,21,0,0,0,125,0,121
3972,292740,2022,"menos_50","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4081,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1082,223,722,19,118,1071,0,9,2,0,0,217,0,471
4081,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1653,210,1348,17,78,1646,0,7,0,0,10,182,0,752
4081,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4408,470,3729,55,154,4391,4,10,3,0,171,262,2,2404
4081,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4855,538,3935,77,305,4816,18,20,1,0,336,154,29,2761
4170,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5543,996,4139,75,334,5470,41,32,0,0,82,866,2,2777
4170,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5210,1045,3658,116,391,5136,39,35,0,0,266,734,2,2497
4170,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4815,703,3691,68,354,4725,44,43,3,0,159,489,4,1997
4170,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5947,770,4495,93,589,5826,50,70,1,0,234,482,0,980
4170,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",5686,854,4113,107,612,5567,55,59,5,0,342,482,3,1324
4170,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",4126,635,2890,82,519,4023,58,34,11,0,309,307,4,1653
4251,292740,2018,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4251,292740,2019,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4251,292740,2020,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4251,292740,2021,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4251,292740,2022,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1,1,0,0,0,1,0,0,0,0,1,0,1,0
4251,292740,2023,"50_mais","privado","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
4731,292740,2018,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1659,335,1057,27,240,1617,36,6,0,0,112,168,2,355
4731,292740,2019,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1725,374,987,40,324,1694,24,7,0,0,232,92,3,642
4731,292740,2020,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1292,278,773,29,212,1256,25,11,0,0,200,55,4,701
4731,292740,2021,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",1478,350,880,35,215,1432,42,4,0,0,222,92,4,649
4731,292740,2022,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",2429,339,1579,73,438,2351,71,7,0,0,230,82,17,1356
4731,292740,2023,"50_mais","publico","Salvador","Bahia","Nordeste",29020,"Salvador",29020,"LESTE - (NRS - SALVADOR)",2882,369,1749,192,572,2653,220,8,1,0,275,59,20,1584
7641,150240,2018,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1110,20,1084,5,1,1109,0,1,0,0,0,16,0,1068
7641,150240,2019,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1189,10,1175,4,0,1189,0,0,0,0,0,9,0,1144
7641,150240,2020,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1803,37,1755,8,3,1802,1,0,0,0,0,29,0,1637
7641,150240,2021,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1400,17,1375,6,2,1395,5,0,0,0,0,16,0,1346
7641,150240,2022,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1813,13,1787,11,2,1809,4,0,0,0,0,9,0,1779
7641,150240,2023,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",1683,7,1661,15,0,1679,4,0,0,0,0,3,0,1652
7684,150240,2018,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",3664,219,3307,28,110,3655,0,9,0,0,0,202,0,3216
7684,150240,2019,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",4261,288,3836,36,101,4254,0,6,1,0,0,276,0,3790
7684,150240,2020,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",5295,395,4685,51,164,5282,0,10,3,0,0,363,0,4643
7684,150240,2021,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",4854,347,4387,42,78,4849,0,3,2,0,0,321,0,4364
7684,150240,2022,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",3958,224,3636,30,68,3954,0,3,1,0,0,205,0,3624
7684,150240,2023,"50_mais","misto","Castanhal","Pará","Norte",15008,"Metropolitana III",15008,"MACRORREGIONAL II",4283,320,3839,46,78,4281,0,1,1,0,0,303,0,3821
8036,353440,2018,"50_mais","publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",5493,383,4654,53,403,5455,34,4,0,0,0,295,1,0
8036,353440,2019,"50_mais","publico","Osasco","São Paulo","Sudeste",35014,"Rota Dos Bandeirantes",35014,"RRAS5",5124,367,4151,41,565,5070,42,11,1,0,0,280,0,0
